district,period_start,year,replica_id,avg_income_bdt,employment_rate_percent,poverty_rate_percent,agri_share_percent,industry_share_percent,services_share_percent
Dhaka,2010-01-01,2010,0,200128,71.45,18.45,5.72,35.2,59.08
Dhaka,2010-01-01,2010,1,197026,68.96,21.21,5.0,34.48,60.52
Dhaka,2010-01-01,2010,2,195158,66.62,19.04,5.21,34.74,60.05
Sylhet,2010-01-01,2010,0,130880,62.06,25.09,24.94,24.73,50.32
Sylhet,2010-01-01,2010,1,117127,62.79,30.33,25.23,24.94,49.83
Sylhet,2010-01-01,2010,2,122375,63.03,27.78,25.83,24.24,49.94
Chattogram,2010-01-01,2010,0,168778,62.18,15.48,11.14,38.24,50.62
Chattogram,2010-01-01,2010,1,152116,62.3,23.05,9.97,39.39,50.65
Chattogram,2010-01-01,2010,2,153145,61.94,22.24,10.66,39.18,50.16
Rajshahi,2010-01-01,2010,0,110250,62.7,29.89,29.04,25.69,45.27
Rajshahi,2010-01-01,2010,1,96844,62.22,27.24,30.27,23.78,45.95
Rajshahi,2010-01-01,2010,2,120278,63.29,25.93,31.14,23.78,45.08
Khulna,2010-01-01,2010,0,111488,62.66,22.95,21.79,34.25,43.96
Khulna,2010-01-01,2010,1,123356,62.1,21.45,22.34,32.21,45.45
Khulna,2010-01-01,2010,2,115145,56.89,26.12,21.41,32.57,46.03
Dhaka,2011-01-01,2011,0,221291,72.76,17.72,5.0,35.51,59.49
Dhaka,2011-01-01,2011,1,201221,74.4,18.72,5.0,36.21,58.79
Dhaka,2011-01-01,2011,2,217975,70.92,17.44,5.0,35.84,59.16
Sylhet,2011-01-01,2011,0,117237,64.51,25.36,23.42,24.83,51.76
Sylhet,2011-01-01,2011,1,111645,60.86,24.87,24.17,25.43,50.4
Sylhet,2011-01-01,2011,2,137199,59.18,26.34,23.74,24.55,51.71
Chattogram,2011-01-01,2011,0,163374,66.89,24.95,10.29,38.45,51.26
Chattogram,2011-01-01,2011,1,154793,64.85,25.03,11.05,38.33,50.62
Chattogram,2011-01-01,2011,2,158968,63.52,21.44,11.44,38.12,50.43
Rajshahi,2011-01-01,2011,0,106099,55.82,25.25,28.27,25.09,46.64
Rajshahi,2011-01-01,2011,1,113772,56.14,26.89,29.25,24.76,45.99
Rajshahi,2011-01-01,2011,2,107120,64.1,26.74,28.74,25.4,45.86
Khulna,2011-01-01,2011,0,126165,59.39,23.38,21.15,32.41,46.44
Khulna,2011-01-01,2011,1,129014,61.7,26.04,20.94,34.04,45.02
Khulna,2011-01-01,2011,2,121722,60.24,21.94,20.74,32.1,47.16
Dhaka,2012-01-01,2012,0,230877,73.66,20.43,5.0,34.89,60.11
Dhaka,2012-01-01,2012,1,219978,67.25,15.52,5.0,34.72,60.28
Dhaka,2012-01-01,2012,2,217754,66.76,18.39,5.0,35.55,59.45
Sylhet,2012-01-01,2012,0,132348,65.28,25.03,23.27,25.73,51.0
Sylhet,2012-01-01,2012,1,124712,68.77,23.97,22.65,25.14,52.2
Sylhet,2012-01-01,2012,2,117349,60.1,23.43,22.59,26.02,51.39
Chattogram,2012-01-01,2012,0,154005,71.53,23.27,9.59,38.92,51.49
